participant,age,type,coder1,coder2
23,9,int_sight,1,1
23,9,moving_toy,1,0
23,10,int_sound,na,na
23,10,int_sight,na,na
23,10,moving_toy,na,na
24,6,int_sound,1,1
24,6,int_sight,1,1
24,6,moving_toy,1,1
24,7,int_sound,1,1
24,7,int_sight,1,1
24,7,moving_toy,1,2
24,8,int_sound,1,1
24,8,int_sight,2,2
24,8,moving_toy,1,1
24,9,int_sound,1,1
24,9,int_sight,1,1
24,9,moving_toy,1,1
24,10,int_sound,1,2
24,10,int_sight,2,2
24,10,moving_toy,0,0
25,6,int_sound,1,1
25,6,int_sight,1,1
25,6,moving_toy,1,1
25,7,int_sound,1,1
25,7,int_sight,1,1
25,7,moving_toy,1,1
25,8,int_sound,1,1
25,8,int_sight,1,1
25,8,moving_toy,0,0
25,9,int_sound,1,1
25,9,int_sight,2,2
25,9,moving_toy,2,2
25,10,int_sound,2,1
25,10,int_sight,1,2
25,10,moving_toy,2,1
1,6,freeplay,1,1
1,8,freeplay,0,0
1,9,freeplay,2,2
2,7,freeplay,0,1
2,9,freeplay,1,2
3,6,freeplay,1,1
3,8,freeplay,0,0
3,9,freeplay,0,1
4,7,freeplay,2,0
4,8,freeplay,2,1
4,9,freeplay,2,2
6,6,freeplay,0,0
6,7,freeplay,0,1
6,8,freeplay,0,1
6,10,freeplay,1,2
8,7,freeplay,1,1
8,10,freeplay,0,0
9,7,freeplay,0,0
9,8,freeplay,1,0
10,7,freeplay,1,1
10,8,freeplay,2,2
10,9,freeplay,0,0
11,7,freeplay,1,1
13,10,freeplay,1,1
14,10,freeplay,1,2
15,6,freeplay,0,0
16,7,freeplay,0,1
16,8,freeplay,0,1
16,10,freeplay,1,1
17,7,freeplay,1,1
17,9,freeplay,2,2
17,10,freeplay,1,1
18,8,freeplay,1,2
18,9,freeplay,1,2
19,6,freeplay,0,0
19,8,freeplay,1,1
19,9,freeplay,0,1
20,7,freeplay,1,1
20,8,freeplay,2,1
20,9,freeplay,2,2
21,7,freeplay,1,1
22,7,freeplay,0,0
22,9,freeplay,0,1
22,10,freeplay,1,1
24,8,freeplay,1,1
25,6,freeplay,1,0
25,7,freeplay,0,1
25,10,freeplay,2,2
